"well" "hyvin"
"accountability" "vastuullisuus"
"select" "valita"
"cellular" "solu-"
"convergence" "yhtymä / kokoontuminen"
"devices" "laitteiden"
"profits" "voitot"
"electronic" "sähköinen"
"gadgets" "vekottimet"
"device" "laite"
"bleeding" "vuotaen"
"market" "markkinat"
"saturation" "kyllästyminen"
"saturate" "kyllästää"
"purchased" "ostettu"
"600" "600"
"sidekick" "apuri"
"decent" "kohtuullinen"
"presentation" "esitys"
"commercial" "kaupallinen"
"marketing" "markkinointi"
"standpoint" "näkökulma"
"explains" "selittää"
"connects" "yhdistää"
"publicly" "julkisesti"
"accessible" "saavutettava"
"customers" "asiakkaat"
"intuitive" "intuitiivinen"
"suggest" "ehdottaa"
"user" "käyttäjä"
"xxx" "XXX"
"revision" "tarkistus"
"fixes" "korjaukset"
"esp" "erityinen"
"korean" "korealainen"
"chs" "CHS"
"chinese" "kiinalainen"
"releases" "julkaisut"
"dell" "tietokone"
"pro" "ammattilainen"
"exam" "koe"
"pens" "kynät"
"pencil" "lyijykynä."
"medicines" "lääkkeet"
"hypertension" "korkea verenpaine"
"pen" "kynä, häkki"
"bhi" "myös"
"nahi" "ei"
"liya" "ottaa"
"sickness" "sairaus"
"pamper" "hemmotella"
"poems" "runot"
"tantalizing" "kiusoitteleva"
"myth" "myytti"
"gods" "jumalat"
"condemned" "tuomittu"
"eternity" "ikuisuus"
"reached" "saavutettu"
"beckoned" "houkutella"
"parched" "kuivunut/hyvin jano/kuivuneilla huulilla"
"drained" "uupunut"
"delicious" "herkullinen"
"pluck" "nykäistä"
"boughs" "oksia"
"receded" "vetäytynyt"
"refresher" "virkistävä"
"gmail" "sähköposti"
"gb" "yhdistynyt kuningaskunta"
"genuine" "aito, alkuperäinen"
"kindly" "ystävällisesti"
"yr" "vuonna"
"updates" "päivitykset"
"tommorrow" "huomenna"
"unnatural" "epäluonnollinen"
"iim" "muisto"
"fees" "maksut"
"champions" "mestarit"
"monaco" "Monaco"
"heartbreak" "sydänsärky"
"porto" "satama"
"perfection" "täydellisyys"
"injury" "vamma"
"captain" "kapteeni"
"players" "pelaajat"
"fool" "hölmö"
"telephone" "puhelin"
"waitlist" "odotuslistalla"
"favour" "suosio, hyväntahtoisuus"
"delhi" "delhi"
"halo" "halo"
"storyline" "juonikuvaus, juonilinja"
"vehicles" "ajoneuvot"
"novelty" "uutuus"
"hallowed" "pyhitetty"
"portals" "portit"
"fairly" "kohtalaisesti"
"reservation" "varaus"
"min" "minun"
"blockbuster" "megahitti"
"humidity" "kosteus"
"rickety" "hutera"
"travelled" "matkusti"
"urgently" "kiireellisesti"
"bribed" "lahjottu"
"coolie" "keikkatyöläinen, palkkasotilas"
"coolies" "työläinen"
"luggage" "matkalaukut"
"passengers" "matkustajat"
"fellows" "kaverit/toverit"
"hefty" "jykevä"
"collector" "keräilijä, kokoaja"
"fare" "taksa"
"1100" "1100"
"shocked" "järkyttynyt"
"villages" "kylät"
"roofs" "vesikatot"
"backward" "taaksepäin"
"engineering" "insinööritaito"
"sale" "myynti"
"resolution" "päätös"
"harvest" "sato"
"veggie" "kasvis"
"cucumber" "kurkku"
"produce" "tuottaa"
"harvested" "kerätty"
"herbs" "yrtit"
"organic" "luomu"
"lettuce" "salaatti"
"mushrooms" "sienet"
"salad" "salaatti"
"addition" "lisäys"
"hybrid" "risteytys"
"heirloom" "perintöesine, perintökalleus"
"mildew" "homeen"
"squash" "murskata"
"thunderstorm" "ukkosmyrsky"
"attach" "liittää"
"knits" "neuloo"
"yarn" "lanka"
"tags" "tunnisteet"
"attached" "kiinnitetty"
"repair" "korjata"
"snags" "esteet"
"rips" "repiä"
"photos" "valokuvat"
"wrapped" "kääritty"
"sunlight" "auringonvalo"
"packaging" "pakkaaminen"
"wrap" "kääriä"
"folded" "taitettu"
"tissue" "paperikudos"
"sticking" "kiinnittäminen"
"bag" "laukku"
"stitch" "tikki"
"salt" "suola"
"peanuts" "maapähkinä"
"cardigan" "villapusero"
"needles" "neulat"
"seamed" "kurttuinen"
"wove" "kudottu"
"needle" "neula"
"shoulders" "hartiat"
"stitches" "tikki"
"holders" "haltijat"
"seams" "saumoja"
"woven" "kudottu"
"bulky" "tilava"
"sleeves" "hihat"
"debbie" "Debbie"
"lara" "Lara"
"matching" "sopiva/ yhteensopiva"
"3s" "kolmoisnumerot"
"result" "tulos"
"gauge" "mittakaava"
"knitted" "kudottu"
"fabric" "kangas/materiaali"
"dense" "tiheä"
"knitting" "neulominen"
"samples" "näytetuotteet"
"fondling" "hyväilevä"
"yarns" "langat"
"wool" "villa"
"pillows" "tyynyt"
"sofas" "sohvat"
"featured" "esillä"
"beatrice" "Beatrice (nimi)"
"muted" "mykistetty"
"pair" "pari"
"fingerless" "sormetön"
"mitts" "hanskat"
"palace" "palatsi"
"cotton" "puuvilla"
"creamy" "kermainen"
"specified" "määritelty"
"semi" "puolikas, puolipitkä"
"westside" "länsipuoli"
"cleveland" "Cleveland"
"selection" "valikoima"
"minimum" "vähimmäisraja"
"detail" "yksityiskohta"
"hrs" "tuntia"
"th" "thể tích"
"sunny" "aurinkoinen"
"rarity" "harvinaisuus"
"intro" "intro"
"graphic" "graafinen"
"designer" "muotisuunnittelija"
"moderate" "maltillinen"
"sized" "kokoiset"
"miles" "mailia"
"rubber" "kumi"
"birthplace" "syntymäpaikka"
"alcoholics" "alkoholistit"
"anonymous" "nimetön"
"tudor" "Tudor-tyylinen"
"colonial" "siirtomaa-"
"yard" "piha"
"vegetable" "vihannes"
"painting" "maalaus tai pienestä pinnasta tehty kuva"
"tearing" "repiminen"
"fiance" "kihlattu"
"outdoor" "ulko-"
"below" "alla"
"bloom" "kukinta"
"gardening" "puutarhanhoito"
"knit" "neuloa"
"sew" "ommella"
"crafts" "käsityöt"
"photography" "valokuvaus"
"interests" "mielenkiinnon kohteet"
"blankets" "peitot"
"barbies" "baarimikot"
"hiatus" "tauko"
"obsessed" "pakkomielteinen"
"documenting" "dokumentoiminen"
"improving" "parantaen"
"lab" "laboratorio"
"puppy" "pentu"
"willow" "vaahtera"
"biting" "pureva"
"ribbon" "nauha"
"contracts" "sopimukset"
"cylindrical" "sylinterin muotoinen"
"twisting" "vääntäminen"
"overgrown" "liian kasvanut"
"pinching" "nipistäminen"
"pruning" "karsiminen"
"promote" "edistää"
"trimmed" "trimmattu"
"hedge" "pensasaita"
"planted" "istutettu"
"batch" "erä"
"fledged" "täysikasvuinen"
"ikea" "IKEA (furniture store)"
"catalog" "luettelo"
"tentative" "Ennakkoluuloinen"
"sweeter" "makeampi"
"stamps" "postimerkkejä/mataloi"
"stamp" "postimerkki"
"rows" "rivit"
"rib" "kylkiluu"
"distracted" "häiriintynyt, häiriintynyt"
"concentration" "keskittyminen"
"muster" "koota"
"fully" "täysin"
"pooling" "keräytyminen"
"scarf" "huivi"
"width" "leveys"
"vertical" "pystysuora"
"stripes" "raidat"
"sock" "sukka"
"finer" "hienompi"
"pace" "tahti"
"analyst" "analyytikko"
"analysis" "analyysi"
"storm" "myrsky"
"consumer" "kuluttaja"
"karen" "Karen"
"poorer" "köyhempi"
"profit" "voitto"
"monte" "vuoristo"
"ipod" "iPod"
"fm" "päiväoperaattorin asemapaikka"
"transmitter" "lähetin"
"walkman" "kävelymies"
"sony" "Sony"
"beta" "beta"
"studio" "studio, äänitysstudio"
"2005" "2005"
"builds" "rakennuttava"
"interim" "väliaikainen"
"availability" "saatavuus"
"announcements" "ilmoituksia"
"arrange" "järjestää"
"madness" "mielettömyys"
"lance" "keihäs"
"strain" "rasittaa"
"za" "kohti/varten"
"inc" "siltä"
"internationally" "kansainvälisesti"
"stronger" "vahvempi"
"worldwide" "maailmanlaajuinen"
"length" "pituus"
"macintosh" "tietokone"
"sold" "myyteään"
"ipods" "ipodit"
"percent" "prosenttia"
"itunes" "itunes"
"scott" "skotti"
"tools" "työkalut"
"packed" "täynnä"
"75" "seitsemänkymmentäviisi"
"bonus" "bonus"
"films" "elokuvat; filmatisoinnit"
"terms" "ehdot"
"footage" "valokuvamateriaali"
"disks" "levyt"
"slant" "kaltevoituminen"
"zion" "Siion"
"height" "korkeus"
"millimeter" "millimetri"
"gram" "gramma"
"data" "datan"
"driven" "pidetty"
"watts" "watit"
"juice" "mehu"
"wins" "voittaa"
"61" "kuusikymmentäyksi"
"margin" "marginaali"
"wired" "johdotettu"
"winner" "voittaja"
"santiago" "kaupunki Chilessä"
"jersey" "pelipusero"
"lung" "keuhko"
"capacity" "kapasiteetti"
"litres" "litraa"
"lightest" "kevein"
"rider" "ratsastaja"
"frankly" "suoraan sanottuna"
"kilograms" "kilogrammat"
"sweden" "Ruotsi"
"gravity" "vakavuus"
"embracing" "halveksittu"
"tallest" "korkein"
"frenchman" "ranskalainen mies"
"96" "kuollut"
"metres" "metriä"
"samuel" "Samuli"
"measuring" "mitata"
"58" "58"
"starters" "aloittajat/aloituspelaajat"
"79" "seitsemänkymmentäyhdeksän"
"74" "epätoivoinen"
"oakley" "oakley"
"sunglasses" "aurinkolasit"
"spotted" "huomannut"
"reveals" "paljastaa"
"google" "googlata"
"ships" "laivat"
"virtual" "virtuaalisen"
"levy" "kisari"
"highlights" "kohokohdat"
"rotation" "kierto/pyöriminen"
"ide" "idea"
"migrate" "muuttaa"
"documentation" "dokumentointi"
"mug" "muki"
"hint" "vihje"
"luis" "Luis"
"cena" "ateria"
"ing" "ing"
"wrestle" "painimaan"
"booker" "varaus"
"dig" "kaivaa"
"conversion" "muunnos"
"gs" "takuuvakuus"
"rhapsody" "rapsodia"
"bust" "rikkoa"
"bootie" "saapas"
"session" "sessio"
"motivation" "motivaatio"
"lola" "lola"
"pumping" "pumppaaminen"
"inheriting" "periminen"
"grandmothers" "isoäidit"
"rent" "vuokra"
"misery" "kurjuus, kärsimys"
"currency" "valuutta"
"thang" "asia"
"homies" "kaverit"
"actin" "esiintyminen"
"sister's" "sisaren"
"ghetto" "getto"
"childs" "lapsi"
"attitude" "asenne"
"walkin" "kävellen"
"watchin" "katsoen"
"smokin" "savua"
"coastin" "rannikolle ajo"
"phony" "teeskentelijä"
"homey" "kaveri"
"trippin" "matkaillen"
"sweatin" "hikoileminen"
"mumble" "mumista"
"rappin" "rap"
"scrappin" "kuriseva"
"haters" "vihaajat"
"conversate" "jutustella"
"demonstrators" "mielenosoittajat"
"drinkin" "juonut"
"eliminatin" "poistaminen"
"knees" "polvet"
"plead" "vedota"
"beggin" "kerjää"
"g" "G-kirjain"
"ounce" "unssi"
"trainin" "harjoittelu"
"outcast" "hylkiö"
"raw" "raaka"
"'til" "asti"
"casket" "arkku"
"remembers" "muistaa"
"dancin" "tanssiminen"
"zoom" "zoomaus"
"goo" "mönjä"
"ga" "hyväksyntä"
"nuggets" "kultahipaleet"
"drippy" "liukas"
"spaced" "katsova"
"mase" "artistin nimi"
"jetta" "jetta"
"uber" "Uber (yritys)"
"counters" "laskurit"
"thingy" "juttu"
"frames" "kehykset"
"cleaners" "puhdistussarja"
"macaroni" "makaroni"
"grill" "grilli"
"pasta" "pasta"
"bites" "purentajäljet"
"supper" "illallinen"
"os" "os (esim. videopelissä)"
"tracked" "jäljittää"
"jail" "vankila"
"mates" "kaverit/partnerit (slangikieltä)"
"joes" "Joes"
"gooooo" "mennä/åka"
"chilling" "jäätävä"
"dramatically" "dramaattisesti"
"im" "olen"
"shalt" "älä"
"requests" "pyyntö"
"execute" "suorittaa"
"linux" "Linux"
"compromise" "kompromissi"
"apache" "apache-helikopteri"
"searches" "haut"
"matches" "tulitikut"
"redirect" "uudelleenohjaamaan"
"elsewhere" "muualla"
"malicious" "ilkeä"
"nastiest" "pahin"
"hundreds" "satoja"
"users" "käyttäjät"
"ip" "IP-osoite"
"forged" "väärentäminen"
"googling" "googlailu"
"module" "moduuli, osa"
"chokes" "tukehduttaa"
"liner" "matkustajalaiva"
"`" "välimerkki"
"echo" "kaiku"
"tr" "rautatie"
"straw" "olki"
"wikipedia" "Wikipedia"
"encyclopedia" "tietosanakirja"
"technique" "tekniikka"
"vancouver" "Vancouver"
"searching" "etsintä"
"anecdote" "anekdootti"
"squeezing" "puristelu"
"requirement" "vaatimus"
"null" "mitätön"
"terminated" "päättynyt"
"inserting" "lisäävä"
"arbitrary" "mielivaltainen"
"java" "kahvi (Java)"
"wrappers" "käärepaperit"
"observation" "havainto"
"trick" "temppu"
"sup" "hörppiä"
"fri" "vapaa"
"dimensions" "ulottuvuudet"
"knocked" "koputtaa"
"parallel" "rinnakkaist"
"shucks" "pahus"
"tot" "asti"
"sheet" "lakanainen"
"battlefield" "taistelukenttä, sotakenttä"
"cs" "tietojenkäsittelytiede"
"medic" "lääkäri"
"coy" "arka"
"concentrate" "keskittää"
"placing" "sijoittaminen"
"lousy" "surkea"
"dancers" "tanssijat"
"humour" "huumori"
"costumes" "puvut"
"innovative" "innovatiivinen"
"funk" "funk"
"movements" "liikkeet"
"emphasize" "korostaa"
"monotonous" "yksitoikkoinen"
"positioning" "sijoittaminen"
"orderly" "järjestäytyneisyys"
"wiser" "viisaampi"
"overseas" "ulkomailla"
"attachment" "liite"
"yah" "joo"
"sequels" "jatko-osat"
"abt" "hölynpyllyys"
"meal" "ateria"
"wah" "Wah-pedaali"
"slacking" "hiihtelee"
"medal" "mitali"
"filter" "suodatin"
"missions" "tehtävä"
"poles" "pylväät"
"gained" "saavutti"
"confidence" "itseluottamus"
"lane" "kaista"
"conveys" "välittää"
"intention" "aikomus"
"lanes" "kaistat"
"chips" "sipsit"
"serving" "annos"
"stool" "jakkara"
"greetings" "tervehdys"
"embarassing" "nolo"
"ia" "meni"
"sch" "hee"
"sockets" "pistorasia"
"programming" "ohjelmointi"
"challenging" "haastava"
"kaki" "uloste"
"modules" "moduulit"
"jade" "Jade, vihreä jalokivi"
"cramp" "kramppi"
"albeit" "vaikka, tosin"
"lan" "paikallinen alueverkko"
"centre" "keskusta"
"billiards" "biljardi"
"orchard" "hedelmätarha"
"pairing" "pariutuminen"
"beginners" "aloittelijat"
"bullying" "kiusaaminen"
"realised" "tajuta"
"demands" "vaatimukset"
"coz" "koska"
"learnt" "oppinut"
"soccer" "jalkapallo"
"chong" "häirikkö"
"boon" "palkinto"
"secondary" "toissijainen/alempi"
"fenced" "rajattiin"
"12pm" "kaksitoista päivällä"
"scorching" "polttava"
"sahara" "Sahara (desert)"
"soaking" "liota"
"jets" "suihkut"
"messaging" "viestittelemässä"
"tiring" "uuvuttava"
"cosy" "kotoisa"
"experimenting" "kokeileva"
"blogger" "bloggaaja"
"successful" "menestyksekäs"
"frankness" "avoimuus"
"discipline" "kurinalaisuus"
"hectic" "hektinen"
"simulations" "simulointi"
"overworked" "ylityöllistetty"
"stepping" "askeltaminen"
"bloody" "verinen"
"papers" "paperit, asiakirjat"
"resumes" "ansioluettelo"
"realise" "tajuta"
"roses" "ruusut"
"rejected" "hylätty"
"oops" "hups"
"misunderstanding" "väärinkäsitys"
"disappointment" "pettymys"
"rejection" "hylkäys"
"admiration" "ihailu"
"unique" "ainutlaatuinen"
"doubts" "epäilykset"
"chocolates" "suklaat"
"neutral" "neutraali"
"signals" "signaalit"
"impulse" "impulssi"
"stalk" "seurata"
"consisting" "koostuva"
"oak" "tammi"
"strike" "iskeä"
"thru" "läpi"
"leh" "leh (nauran)"
"motive" "motiivi"
"aggressive" "aggressiivinen tai ärhäkkä"
"nope" "ei"
"disheartened" "demoralisoitunut"
"ignoring" "ohittava / huomioimaton"
"backing" "tuki"
"hug" "halata"
"slightest" "hienoisin"
"suitors" "kosijat"
"treating" "käsittelevä"
"thread" "lanka"
"proposal" "ehdotus"
"custom" "tapa"
"tradition" "perinne"
"maternal" "äidillinen"
"aunties" "tädit"
"uncles" "enot, enonsa, eno"
"borne" "syntynyt"
"mah" "minun"
"cozy" "kodikas"
"gfs" "tyttöystäväni"
"unattached" "irrotettu"
"opp" "opp"
"indians" "intiaanit"
"dinosaur" "dinosaurukset"
"godzilla" "hirviö (referring to the giant Japanese movie monster)"
"1942" "1942"
"addictive" "addiktoiva"
"levels" "tasot"
"ak" "AK-47"
"relative" "sukulainen"
"cook" "kokata"
"lastly" "viimein"
"mum" "äitiä"
"aiming" "tähtäävä"
"licence" "lisenssi"
"holograms" "hologrammit"
"6am" "6am"
"balding" "kaljuuntuminen"
"complexion" "ihonväri"
"crucial" "ratkaiseva"
"tense" "jännittynyt"
"exclamation" "huudahdus"
"thinning" "oheneminen"
"continuous" "jatkuva"
"300" "300"
"dozing" "torkkumista"
"emergency" "hätätilanne"
"brake" "jarru"
"accelerator" "kaasupoljin"
"crossed" "ylittänyt"
"amber" "meripihka"
"smoothly" "sujuvasti"
"tink" "mussutus"
"compile" "koota"
"algorithm" "algoritmi"
"applications" "sovellukset"
"upper" "ylempi"
"honors" "kunnianosoitukset"
"ard" "vaativa"
"smug" "salainen"
"revise" "korjata"
"thrashing" "murskaaminen"
"gunners" "aseet"
"thankfully" "kiitollisesti"
"tactics" "taktiikka"
"unexplored" "tutkimaton"
"hai" "meriahven"
"crowded" "täpötäysi"
"uptight" "jäykistynyt"
"expects" "odottaa"
"earn" "ansaita"
"majority" "enemmistö"
"climb" "kiipeäminen"
"ladder" "tikapuut"
"suitable" "sopiva"
"scout" "etsiä"
"coconut" "kookospähkinä"
"opps" "opps"
"agility" "ketteryys"
"maximum" "enimmäisarvo"
"colours" "värit"
"06" "nolla-kuusi"
"03" "vuosi 2003"
"sexes" "sukupuolet"
"worthwhile" "arvokas"
"shiver" "väre, vavistus"
"coolio" "siisti"
"22nd" "kahdeskymmenestoinen"
"colour" "väri"
"manhood" "miehuus"
"poo" "kakka"
"disco" "diskoteekki"
"lmao" "Hindi-huudahtelu"
"lenny" "Lenny"
"01" "nolla yksi"
"07" "seitsemän"
"poop" "kakka"
"lupe" "shortened form of "
"bruce" "Bruce"
"shadow" "varjo"
"koi" "mikä tahansa"
"buzz" "humahdus/ surina"
"ew" "hyi"
"starry" "tähtikirkas"
"ughh" "ughh"
"passport" "passi"
"lynched" "hirttää"
"tubby" "tukeva"
"lard" "pekoni/voiteleva"
"slinky" "helminauha"
"nostrils" "sieraimet"
"beautifully" "kauniisti"
"multiple" "usea"
"fighters" "taistelijat"
"cuddly" "herttainen"
"mate" "kumppani"
"weakness" "heikkous"
"chemical" "kemiallinen"
"imbalance" "epätasapaino"
"lumpy" "möykkyinen"
"congealed" "hyytelöitynyt"
"hyperventilate" "hyperventilaatio"
"groaning" "voihkinta"
"nissan" "japanilainen autonvalmistaja"
"foods" "ruoat"
"buttocks" "pakarat"
"scraping" "raaputtaminen"
"squeaking" "kitisevä"
"mice" "hiiret"
"trapped" "loukussa"
"sweaty" "hikoileva"
"knickers" "pikkuhousut"
"gerard" "Gerard-niminen henkilö"
"dunham" "Dunham"
"squirrels" "oravat"
"tame" "kesy"
"soured" "pilaantunut"
"visitor" "vierailija"
"michelin" "Michelin"
"blubbery" "lihava"
"chins" "leuat"
"theories" "teoriat"
"abused" "hyväksikäytetty"
"insecure" "epävarma"
"personality" "persoonallisuus"
"exclusion" "sulkeminen"
"inappropriate" "sopimaton"
"gospel" "evankeliumi"
"saint" "pyhimys"
"oprah" "Oprah"
"expectation" "odotus"
"prisoners" "vangit"
"evasive" "väistelevä"
"moniker" "lempinimi"
"hack" "hakata"
"shattering" "murskaava"
"purposes" "tarkoituksia"
"amsterdam" "Amsterdam (kaupunki Alankomaissa)"
"towel" "pyyhe"
"claws" "kynnet"
"amazon" "Amazon (joen nimi)"
"favourite" "suosikkini"
"reproduced" "uusintatuotu"
"tenner" "hampaat"
"denmark" "Tanska"
"sticks" "kepit"
"ironing" "silitys / silittää"
"kicks" "potkut"
"alt" "alt"
"frisked" "läpikäyminen"
"caps" "lippikset"
"detectors" "havainnointi, ilmaisin"
"clouded" "Sumun peittämä"
"occasional" "satunnainen"
"parted" "erota"
"landscape" "maisema"
"farms" "maatilat"
"islands" "saaret"
"seas" "meret"
"boats" "veneet"
"windmills" "tuulimyllyt"
"copenhagen" "Kööpenhamina"
"plane" "lentokone"
"banking" "pankkitoiminta"
"altitude" "korkeus"
"whales" "valaat"
"surfacing" "pinnalle nouseminen"
"waves" "aallot, aallokoituminen"
"spa" "kylpylä"
"overlook" "ylenkatsoa"
"carpets" "matot"
"hallways" "käytävät"
"scope" "laajuus"
"conference" "konferenssi"
"attend" "osallistua"
"sessions" "istunnot, sessiot"
"tedious" "tylsää"
"enabling" "mahdollistaminen/edistäminen"
"connections" "yhteydet"
"swedish" "ruotsalainen"
"diversity" "monimuotoisuus"
"village" "kylä"
"preview" "esikatselu"
"starring" "pääosassa oleva"
"production" "tuotanto, valmistus"
"navigating" "navigoiva"
"tottenham" "Tottenham"
"northern" "pohjoinen"
"leicester" "Leicester (nimi)"
"geography" "maantiedettä"
"handy" "käsillä oleva, helppokäyttöinen"
"maps" "kartat"
"geographically" "maantieteellisesti"
"landmarks" "merkkikohteet"
"stations" "asemat"
"railway" "rautatie"
"commute" "työmatka"
"stir" "sekoittaa"
"unsettled" "levoton"
"prices" "hinnat"
"soooo" "tosi paljon"
"laura" "laura"
"junction" "risteys"
"ade" "artikla"
"wrangling" "kamppailu"
"windsor" "Windsor"
"slightly" "hieman"
"quieter" "hiljaisempi"
"evenings" "iltaisin"
"pub" "pubi"
"shunned" "hylätty/hyljeksimä"
"providence" "jumalallinen sallimus"
"newport" "uusipuisto"
"coasting" "liukuvaa"
"lodge" "majatalo"
"closing" "sulkeminen, lopettaminen"
"lacking" "puutteellinen"
"spilling" "vuotaminen"
"hardship" "vaikeus"
"lunches" "lounaat"
"keeper" "säilyttäjä"
"sid" "nimi"
"funds" "varat"
"scrape" "raapiminen"
"picnic" "piknik"
"investigating" "tutkiva"
"sharing" "jakaminen"
"hardware" "laitteisto"
"doctors" "lääkärit"
"keel" "kielto / estäminen"
"client" "asiakas"
"ego" "ego"
"toying" "leikkiminen"
"hobbies" "harrastukset"
"escapes" "pako"
"segment" "segmentti"
"design" "suunnittelu"
"improvements" "parannukset"
"organized" "järjestelmällinen"
"pilot" "ohjaaja, lentäjä"
"profiles" "profiilit"
"resist" "vastustaa"
"miscellaneous" "kirjava, sekava"
"fanfiction" "fanifiktio"
"squadron" "joukkue"
"persona" "persoona"
"nickname" "lempinimi"
"ship" "laiva"
"brief" "lyhyt/tiivis"
"description" "kuvaus"
"strongly" "vahvasti"
"supported" "tukeminen"
"carrier" "kuljettaja, kantaja"
"operations" "toiminnot"
"operation" "toiminta"
"futile" "turha"
"ftp" "tiedostosiirto"
"exceptions" "poikkeukset"
"spectator" "katsoja"
"suspended" "keskeytetty"
"ss" "SS"
"informative" "informatiivinen"
"tweaking" "viilaaminen"
"generic" "geneerinen"
"inability" "kyvyttömyys"
"bleh" "inhottavaa"
"lending" "antaminen lainaksi, lainaaminen"
"inputs" "syötteet"
"outgoing" "seikkailunhaluinen"
"accounts" "tilit;"
"g4" "g4 (tiivistetty ilma)"
"guides" "oppaat"
"patient" "kärsivällinen (Finnish)"
"asap" "mahdollisimman pian"
"expense" "kulu"
"horizons" "horisontti"
"norm" "normi"
"gap" "aukko"
"whoa" "wow"
"shifting" "muuttuminen"
"archive" "arkisto"
"schema" "kaavio"
"barbra" "Barbra"
"inspector" "tarkastaja"
"betcha" "lyödä vetoa"
"chick" "tipu"
"ant" "muurahainen"
"approve" "hyväksyä"
"gay" "homoseksuaalinen, iloinen"
"unattractive" "epäeroottinen"
"screwing" "ruuvaaminen, huijaaminen"
"bipolar" "kaksisuuntainen"
"sox" "sukat"
"goddamned" "pirullinen/kirottu"
"resolutions" "uudenvuodentoiveet"
"fingernails" "kynnet"
"nails" "kynnet"
"slip" "liukua"
"bottomless" "pohjaton"
"shrink" "kutistua"
"aura" "ilmapiiri"
"standing" "seisova"
"pit" "kuoppa"
"drone" "drone"
"foes" "viholliset"
"weak" "heikko"
"shortest" "lyhin"
"spell" "loitsu, lukea loitsua"
"asylum" "psykiatrinen sairaala"
"hypocrite" "tekopyhä"
"disgusts" "inhottaa"
"utterly" "täysin"
"ewww" "yök"
"aspects" "näkökulmat"
"bryce" "Bryce"
"asses" "aasit"
"brains" "aivot"
"brainless" "aivojen puutteesta kärsivä"
"jess" "joo"
"pooped" "väsynyt"
"doodoo" "kakkonen"
"kills" "tappaa"
"asshole" "reikäpää"
"adorable" "ihastuttava"
"ash" "tuhka"
"goddamn" "perkele"
"chronic" "krooninen"
"compulsive" "pakonomainen"
"stealer" "varas, ryöstäjä"
"dude" "kaveri"
"appendix" "liite"
"index" "indeksi"
"salem" "Tumma savu"
"dogfood" "koiranruoka"
"unicorn" "yksisarvinen"
"penguin" "pingviini"
"waht" "miten"
"management" "johtaminen"
"ideal" "ihanteellinen"
"hp" "hevosvoima"
"cocktail" "cocktaili"
"itches" "kutittaa"
"goin" "menossa"
"aw" "voi/toivoisin"
"ohh" "ohh"
"sweets" "makeiset"
"porno" "porno"
"sinned" "syntynyt"
"confession" "tunnustus"
"210" "kaksisataakymmenen"
"impure" "epäpuhdas"
"masturbated" "runkata"
"lux" "ylellinen"
"virgin" "puhtoisuus"
"suicides" "itsemurhat"
"boner" "erektio"
"margaret" "Margaret (name)"
"marge" "reunus"
"pleases" "miellyttää"
"boxer" "nyrkkeilijä"
"household" "kotitalous"
"auntie" "täti"
"honey" "hunaja"
"chunky" "paksu"
"suing" "haastava oikeuteen, oikeusjuttu"
"entrance" "sisäänkäynti"
"orgasm" "orgasmi"
"dose" "annos"
"keg" "olutkannu"
"thighs" "reidet"
"craving" "himo"
"winston" "winston"
"blake" "blake"
"birdie" "lintu"
"aight" "okei"
"bass" "basso"
"dan" "dan"
"goldmine" "kultakaivos"
"devotions" "harrastus"
"blew" "puhalsi"
"academy" "akatemia"
"queen" "kuningatar"
"bee" "mehiläinen"
"goddess" "jumalatar"
"comp" "kilpailu"
"junkie" "narkomaani"
"saber" "tietää"
"rejoice" "riemuita"
"originality" "omaperäisyys"
"barrel" "tynnyri"
"honda" "automerkki"
"playin'" "leikkiminen"
"tapes" "teipit"
"fonda" "Fonda"
"motor" "moottori"
"anaconda" "anaconda"
"buns" "pullat"
"hon" "hunaja"
"seeps" "imeytyy"
"veins" "suonet"
"empty" "tyhjä"
"weightless" "painoton"
"gloom" "synkkyys"
"tale" "satu/kertomus"
"tattoo" "tatuointi"
"gettin'" "saaminen"
"ink" "muste"
"dopest" "siistein"
"fakes" "väärennetyt"
"lacks" "puuttuu"
"denial" "kieltäminen"
"overcompensate" "ylireagoida"
"ricki" "Ricki"
"cassandra" "kassandra"
"mystical" "mystinen"
"shirley" "Shirley"
"naughty" "tuhma"
"stripper" "strippari"
"ole" "oi"
"fictional" "kuvitteellinen"
"shack" "hökkeli"
"bmw" "BMW-auto"
"escalade" "nousu/kiipeäminen"
"livin" "eläminen"
"crown" "kruunu"
"optional" "valinnainen"
"mysterious" "salaperäinen"
"climbs" "kiipeät"
"darling" "kultaseni"
"nickelodeon" "Nickelodeon, viihdesarja"
"mansion" "kartano"
"royce" "ylhäinen"
"wesley" "Wesley"
"makeup" "meikki"
"artist" "taiteilija"
"realist" "realisti"
"analyze" "analysoida"
"dreamer" "unelmoija/unelmien näkijä"
"overs" "ylipalat"
"complex" "monimutkainen"
"syndrome" "oireyhtymä"
"basics" "perussäännöt"
"location" "sijainti"
"stinky" "löyhkäävä"
"politically" "poliittisesti"
"republican" "republikaani"
"tory" "porvari"
"switzerland" "Sveitsi"
"caked" "kakkuuntuva"
"binary" "kaksiarvoinen"
"klingon" "klingon"
"gourmet" "hienosto"
"noodles" "nuudelit"
"reservations" "varaamiset"
"moderately" "kohtuudella"
"amusing" "huvittava"
"horizontal" "vaaka"
"mambo" "mambo"
"ugliness" "rumuus"
"intolerable" "sietämätön"
"alter" "tyyppi"
"wilde" "villi"
