"hey" "hei"
"sirvam-me" "palvelkaa minua"
"amadas" "rakkaat"
"prémios" "palkinnot"
"confiem" "luottakaa"
"preparemos" "valmistakaamme"
"faeries" "keijut"
"beleives" "uskoo"
"divinas" "jumalalliset"
"milagre" "ihme"
"criou" "loi"
"dádiva" "lahja"
"humanos" "inhimilliset"
"formou" "muodosti"
"magnifíco" "upea"
"dourado" "kultainen"
"mechón" "suortuva"
"pescoço" "kaula"
"tchau" "heippa"
"vê" "nähdä"
"acredito" "uskon"
"carta" "kirje"
"amassada" "rutattu"
"prometo" "lupaan"
"mostra" "näyttö"
"bailarino" "tanssijoita"
"zaino" "reppu"
"tenuta" "tila"
"autostop" "liftaus"
"frenata" "jarrutus"
"spiega" "selittää"
"sorridi" "hymyilin"
"sistemi" "järjestelmiä"
"dicendomi" "sanoen minulle"
"bianco" "valkoinen"
"rifiuto" "hylkääminen"
"impazzendo" "hullun"
"scherzando" "leikkiä"
"contare" "laskea"
"giocare" "pelata"
"diverto" "nautin"
"anch" "myös"
"sistemo" "järjestän"
"rischierei" "ottaisin riskin"
"crollata" "romahti"
"ferma" "pysähtynyt"
"sull" "yllä"
"erba" "ruoho"
"bagnata" "märkä"
"vestiamo" "pukeutua"
"lasciare" "jättää"
"stanco" "väsynyt"
"fumata" "savu"
"ejemplo" "esimerkki"
"609" "kuusisataayhdeksän"
"soaken" "kastunut"
"nasce" "syntyy"
"paradão" "hidastaja"
"caixão" "arkku"
"cá" "tässä"
"invadir" "hyökätä"
"mexer" "liikuttaa"
"uou" "wow"
"instintivo" "vaistomainen"
"primitivo" "alkukantainen"
"mexemos" "liikumme"
"jogue" "pelaa"
"tronco" "runko"
"balançar" "heiluttaa"
"superar" "ylittää"
"mostrado" "näyttävä"
"demasiada" "liikaa"
"contención" "pidättyvyys"
"cazar" "metsästää"
"servirse" "tarjota"
"quieran" "haluavat"
"estómago" "vatsa"
"hiena" "hyena"
"retarle" "haastaa"
"pasada" "kulunut"
"trasnochado" "uneton"
"presagia" "ennustaa"
"ansiamos" "haluamme"
"leonina" "leijonamainen"
"iludir" "pettää"
"questão" "kysymys"
"riverboats" "jokiveneet"
"ejercido" "harjoitettu"
"fuertes" "vahvat"
"tomarán" "ottaa"
"libremente" "vapaasti"
"deseen" "haluavat"
"satisfecha" "tyytyväinen"
"retarlo" "haastaa"
"proclamando" "julistaa"
"fallas" "vikoja"
"marchar" "marssia"
"incluye" "sisältää"
"conjunto" "kokonaisuus"
"amplia" "laaja"
"abarcar" "kattaa"
"listos" "valmiita"
"siglo" "vuosisata"
"acto" "teko"
"planeándolo" "suunnittelemalla"
"hacían" "tekivät"
"grosz" "kopekka (penni)"
"intelekt" "äly"
"lepiej" "paremmin"
"zdrów" "terve"
"wysilcie" "pinnistele"
"mózgowia" "aivokuori"
"wymagam" "vaadin"
"królach" "kuninkaat"
"tronach" "valtaistuimet"
"mowa" "puhe"
"dotyczy" "koskee"
"bowiem" "sillä (koska)"
"szansa" "mahdollisuus"
"przyjdzie" "tulee"
"epoka" "aikakausi"
"przepychu" "ylellisyys"
"skrada" "hiipii"
"cichu" "hiljaa"
"nami" "meille"
"uszami" "korvilla"
"zgody" "yhteisymmärrys"
"nagrody" "palkintoja"
"snie" "unelma"
"prawo" "laki"
"obejdzie" "ohittaa"
"króla" "kuningas"
"chory" "sairas"
"dobra" "hyvä"
"król" "kuningas"
"durnie" "typerät"
"inny" "erilainen"
"królem" "kuninkaana"
"dotknie" "koskettaa"
"hura" "hurraa"
"cóz" "no"
"roboty" "työntehtävät"
"wnet" "heti"
"jakem" "jakamaan"
"andronów" "androidit"
"zaszczyty" "korkea asema"
"komu" "kenelle"
"zyskacie" "voitte hyötyä"
"zamach" "hyökkäys"
"sezonu" "kausi"
"niebawem" "pian"
"rachubie" "laskelma"
"zawdzięczam" "kiittää"
"cześć" "kunnia"
"monarsze" "hallitsija"
"zwierzęta" "eläimet"
"tchu" "hengästyminen"
"oto" "katsokaa"
"laf" "pelkurimainen"
"irritant" "ärsyttävä"
"talenten" "kyvyt"
"afhankelijk" "riippuvainen"
"brein" "aivot"
"behoren" "kuulua johonkin"
"functioneer" "toimia"
"enkele" "jokin"
"oren" "korvat"
"kwestie" "kysymys"
"afwezig" "poissaoleva"
"daarboven" "siellä ylhäällä"
"zelfs" "jopa"
"lijken" "vaikuttaa"
"soort" "laji"
"bestaan" "olemassaolo"
"keus" "valinta"
"weergaloos" "upea"
"nieuws" "uutiset"
"betere" "parempi"
"voordeel" "etu"
"oordeel" "tuomio"
"belonen" "palkita"
"eindelijk" "lopulta"
"krijg" "saada"
"bevrijd" "vapautettu"
"onrecht" "vääryys"
"smaad" "kunnia loukkaaminen"
"waarvoor" "mistä"
"hoezo" "miten niin"
"idioot" "idiootti"
"vermoorden" "murhata"
"fijn" "mukava"
"onze" "meidän"
"belangen" "etumme"
"beetje" "hieman"
"zorg" "huoli"
"besteed" "käyttää"
"beurt" "vuoro"
"toekomst" "tulevaisuus"
"biedt" "tarjota"
"iedereen" "kaikki"
"prijzen" "kehua"
"rij" "jono"
"wijzen" "osoittaa"
"vergelding" "kostaminen"
"leeuw" "leijona"
"clove-key" "neilikka-avain"
"hablamos" "puhumme"
"linajes" "suvut"
"inconcientes" "tiedottomat"
"deben" "pitää"
"encuentra" "löytää"
"pintamos" "maalaamme"
"riesgo" "riski"
"tendrán" "tulevat saamaan"
"sigan" "jatkakaa"
"logre" "saavuttaa"
"matarlo" "tappaa hänet"
"apóyenme" "tukemalla minua"
"sufrirán" "kärsivät"
"socios" "kumppanit"
"olviden" "unohtakaa"
"obligue" "velvoittaa"
"ciertas" "tiettyjä"
"acciones" "toimet"
"pisca" "terävä katse"
"querían" "halusivat"
"nuestros" "meidän"
"ficamos" "jäädä"
"hei-de" "minun täytyy"
"vais-me" "minä lähden"
"soñar" "uneksia"
"envuelve" "kietoo"
"sudenely" "yhtäkkiä"
"barring" "lukuun ottamatta"
"banquets" "päivälliset"
"hayloft" "heinälato"
"sentes" "tuntea"
"profunda" "syvä"
"virar" "kääntyä"
"costas" "selkä"
"arrependo" "katua"
"fraco" "heikko"
"dava" "antaa"
"traque" "paniikki"
"impedir-me" "estää minut"
"repugnas-me" "tökkii minua"
"malta" "malta"
"deixá-los" "jättää ne"
"ganhaste" "voittaa"
"começamos" "aloittaa"
"entretanto" "kuitenkin"
"engordei" "lihoitui"
"quilo" "kilo"
"diz-lhe" "sano hänelle"
"começaste" "aloittaa"
"cantá-la" "laulaa sitä"
"marca" "merkki"
"devíamos" "pitäisi"
"partilhá-la" "jakaa se"
"improvisar" "improvisoida"
"verdade" "totuus"
"uhm-" "hm-"
"tahiki" "kiire"
"nuovo" "uusi"
"stagione" "kausi"
"stagioni" "kaudet"
"dormendo" "nukkuessa"
"scorre" "virtaa"
"amanti" "rakastajat"
"impazzirà" "tulee hulluksi"
"chiaro" "selvä"
"fugge" "pakenee"
"tornato" "palannut"
"comè" "kuten"
"ngelanga" "kuukausi"
"sifika" "saavuttaa"
"kulomhlaba" "maailma"
"sacwayiziswa" "kokemassa"
"yilanga" "päivä"
"kuningi" "kuningas"
"esingakubona" "emme näe"
"esingakwenza" "emme tee"
"ngeke" "emme pysty"
"sikuqede" "päättyy"
"esikwamukelayo" "odottamassa"
"esingakuthola" "emme saa"
"ilanga" "aurinko"
"liphuma" "tulee"
"esibhakabhakeni" "etsimässä"
"okuncane" "pieni"
"nokukhulu" "suuri"
"likujikeleza" "liikkuu"
"indlela" "tapa"
"yempilo" "terveyden"
"isiqhuba" "ongelma"
"ekupheleni" "lopulla"
"ließen" "jättivät"
"ruh" "rauha"
"wurdest" "tulit"
"gejagt" "jahtasi"
"geilen" "kiihottaa"
"pressehunden" "pressikoira"
"schlagzeile" "otsikko"
"nackt" "alasti"
"gefunden" "löydetty"
"gerettet" "pelastettu"
"gesehn" "nähty"
"erinnerst" "muistat"
"saß" "istui"
"reihe" "rivi"
"pickeln" "pilaantua"
"irgendein" "mikä tahansa"
"sexobjekt" "seksuaalikohde"
"benutzt" "käytetty"
"vergisst" "unohtaa"
"opgelegd" "määrätty"
"betreft" "koskee"
"gevuld" "täytetty"
"verdwenen" "kadonnut"
"hoog" "korkea"
"diegene" "tuo henkilö"
"seigneur" "herra"
"prête" "lainaa"
"crétine" "typerys"
"admiré" "ihailtu"
"sbaglierò" "sekoitan"
"cado" "pudota"
"temporale" "aikajakso"
"ballerò" "tanssi"
"punkto" "piste"
"jagd" "metsästys"
"sehr" "hyvin"
"zurückhaltung" "pidättyväisyys"
"geübt" "harjaantunut"
"mächtigen" "mahtava"
"nehmen" "ottaa"
"hyäne" "hyeena"
"niemals" "koskaan"
"mächtig" "voimakas"
"herauszufordern" "haastaa"
"seiner" "hänen"
"herrschaft" "hallinta"
"vermessen" "liioiteltu"
"löwenreich" "leijoninen"
"wandeln" "muuttua"
"solltet" "pitäisi"
"füllt" "täyttää"
"bauch" "vatsa"
"teuflischsten" "paholaismaisin"
"eure" "teidän"
"przychodzimy" "tulemme"
"bezradni" "avuttomat"
"dniem" "päivä"
"nowy" "uusi"
"snem" "uni"
"nabiera" "saa"
"barw" "värit"
"czuje" "tuntee"
"zew" "houkutus"
"stron" "sivut"
"przybywamy" "saavumme"
"znak" "merkki"
"wiruje" "pyörii"
"gniew" "viha"
"rytm" "rytmi"
"swe" "oma"
"miejsce" "paikka"
"trwa" "kestää"
"odnajdzie" "löytää"
"yeah-huh-huh-ha-ha" "joo-hohoho-ha-ha"
"bonna" "kakku"
"fusugu" "perhe"
"ilih" "iloinen"
"swelisha" "hermostunut"
"lifenengo" "energinen"
"guzwanna" "kiihtynyt"
"zomkevhe" "mysteerinen"
"bilaa" "aalto"
"gunimgingi" "poukkoileva"
"namusho" "harmittava"
"gingende" "äkillisesti"
"njannena" "neuvokas"
"igenso" "kasvot"
"agens" "tekijä"
"amjielaa" "kiusaava"
"uzogitu" "tuntematon"
"kukole" "kukko"
"gufifaiyo" "haaveileva"
"angazi" "tietämätön"
"engab" "meri"
"inkosi" "kuningas"
"ngi" "minä"
"yoziyo" "vaikuttava"
"yemi" "juuri nyt"
"honnave" "kaunis"
"igute" "runko"
"hemsovini" "vihainen"
"oguna" "vaurioitunut"
"koleni" "ystävällisesti"
"nunavo" "unohtaa"
"izzi" "kirkas"
"ninam" "nenä"
"klanje" "murha"
"ginne" "juoda"
"prinni" "nauraa"
"soh" "söpö"
"ingoklule" "tietoa"
"komi" "ymmärtää"
"veli" "veli"
"inde" "itsenäisyys"
"tchee" "vapaus"
"zizo" "hullu"
"prawa" "oikeudet/oikeudenmukainen"
"zakazy" "kiellot"
"masz" "voima"
"szans" "mahdollisuudet"
"odchodzi" "lähteä"
"czystym" "puhdas"
"nadchodzi" "nouseva"
"dobrej" "hyvä"
"zmiany" "muutos"
"ambitne" "kunnianhimoinen"
"pucz" "vallankaappaus"
"zrobicie" "tehdä"
"dym" "savu"
"wszystkie" "kaikki"
"gotowe" "valmis"
"bliskie" "läheinen"
"latach" "vuosikymmeninä"
"brata" "veli"
"majestacie" "majesteetti"
"razem" "yhdessä"
"oddacie" "antaa"
"wart" "arvokas"
"tronu" "valtaistuin"
"impôs" "mahdoton"
"caça" "metsästys"
"levarem" "viedä"
"cheia" "avain"
"desafiar" "haastaa"
"inclui" "sisältää"
"vós" "sinä"
"childishly" "lapsellisesti"
"chromosome" "kromosomi"
"arve" "arvioida"
"hmm-hm" "hmm-hm"
"hmmmmmm" "hmmmmmm"
"vencerá" "voittaa"
"pêlo" "karva"
"rosnar" "murista"
"mudará" "muuttaa"
"chato" "tylsä"
"vingar" "lentää"
"olharem" "katsoa"
"vedeta" "houkutella"
"filp" "käännöstoiminto"
"mails" "sähköpostit"
"fnaf" "viiden yön pelko"
"byl" ". ollut"
"zdrženlivý" "pidättyvä"
"lovení" "metsästys"
"až" "kunnes"
"králem" "kuningas"
"budou" "tulevat olemaan"
"mocní" "mahtavat"
"moci" "pystyä"
"vzít" "ottaa"
"zlíbí" "miellyttää"
"protože" "koska"
"hyeny" "hyeenat"
"nikdy" "koskaan"
"plný" "täynnä"
"mufasu" "afrikkalainen eläin"
"souboji" "taistelut"
"porazit" "voittaa"
"nelze" "ei voi"
"staré" "vanhat"
"školy" "koulut"
"vládne" "hallitsee"
"vím" "tiedän"
"selhání" "selhání"
"všem" "kaikki"
"nám" "meille"
"škodí" "vahingoittaa"
"chcem" "haluta"
"víc" "enemmän"
"vizi" "visio"
"lví" "leijonan"
"dobou" "aika"
"splní" "toteuttaa"
"být" "olla"
"král" "kuningas"
"známý" "tunnettu"
"dvorní" "hovikunnan"
"dámy" "naiset"
"vážen" "arvostettu"
"vznést" "kohottaa"
"brousím" "teroittaa"
"zuby" "hampaat"
"dormito" "nukkuva"
"anticamente" "muinainen"
"sognato" "uneksittu"
"scogliera" "kallioranta"
"pregherò" "rukoilen"
"infrangerà" "rikkoa"
"soffrirò" "kärsin"
"pescatore" "kalastaja"
"orizzonti" "horisontit"
"oscurano" "tummentuvat"
"rete" "verkko"
"pescherò" "pyydän"
"spiegherò" "selitän"
"perdonerò" "annan anteeksi"
"sospesa" "keskeytetty"
"darò" "annan"
"leichtes" "helppo"
"gefühle" "tunteet"
"hindert" "estää"
"kommts" "tulee"
"mjb" "MJB"
"rozum" "järki"
"pár" "pari"
"pochopit" "ymmärtää"
"práci" "työ"
"máš" "sinulla on"
"však" "kuitenkin"
"pozornost" "huomio"
"mojí" "minun"
"mých" "minun"
"slovech" "sanoissa"
"osud" "kohtalo"
"náš" "meidän"
"jasné" "selvä"
"tvých" "sinun"
"spících" "nukkuvat"
"stojíš" "seisot"
"vedení" "johto"
"králích" "kuninkaat"
"následnících" "seuraajat"
"vše" "kaikki"
"láká" "houkuttelee"
"spoustu" "paljon"
"zpráv" "uutisia"
"blíž" "lähempänä"
"nová" "uusi"
"éra" "aikakausi"
"režiséra" "ohjaaja"
"výstup" "esitys"
"naslouchej" "kuuntele"
"mistru" "mestari"
"žákem" "opiskelija"
"tvá" "sinun"
"nebudem" "emme tule"
"krále" "kuningas"
"tralalala" "tralalaa"
"idioti" "idiootit"
"bude" "tulee olemaan"
"jsi" "olet"
"mnou" "minun kanssani"
"nehrozí" "uhkaa"
"hlad" "nälkä"
"povídám" "kerron"
"hurá" "hurraa"
"žije" "elää"
"krásné" "kaunis"
"zván" "kutsuttu"
"spojence" "liittolainen"
"toho" "siihen"
"dlouho" "pitkään"
"vlád" "hallitus"
"vaše" "sinun tai teidän"
"úlohy" "tehtävät"
"hrát" "pelata"
"jsou" "ovat"
"dárky" "lahjat"
"dostanu" "saan"
"jich" "heistä/tästä"
"trochu" "hieman"
"zásluhy" "ansio"
"beze" "ilman"
"mne" "minulle"
"neslízneš" "et meinaa pystyä nielemään"
"chrup" "rouskunta"
"bides" "kilpirauhasen"
"oo-oo-oo-ooh" "ooh-oo-oo-ooh"
"frantumò" "hajosi (murrettaessa)"
"barriera" "este"
"contatto" "kosketus"
"frequenti" "yleiset"
"frammenti" "sirpaleet"
"scintille" "kipinät"
"sconfinato" "mittaamaton"
"luniverso" "universumi"
"dimostri" "näyttää"
"convincendomi" "vakuutti minut"
"coscienza" "omatunto"
"dolcemente" "hellästi"
"vorrò" "haluan"
"farneticare" "jorista"
"contemplando" "tarkkaileva"
"laria" "ilma"
"fireboy" "tulipoika"
"inverse" "päinvastainen"
"methodology" "menetelmä"
"watergirl" "vesityttö"
"magma" "magma"
"entryway" "sisäänkäynti"
"madboyhub" "hullu poika hub"
"canopies" "riippumatot"
"spinsters" "vanhapiika"
"accusarmi" "syyttää minua"
"incontrata" "tapaaminen"
"parlato" "puhuminen"
"amava" "rakasti"
"piaceva" "pidin"
"glielo" "hänelle sen"
"avrei" "olisin"
"venuta" "tullut"
"capirai" "ymmärrät"
"rap-bot" "rap-bot"
"penll" "kynä"
"half-cock" "puolivalmis"
"skill-a-holic" "taitojen ahmija"
"flippity" "käänteinen"
"dippity-hippity" "sekava"
"man-bun" "niskatukka"
"out-petty" "ylittää pikkumaista"
"outselling" "myydä paremmin kuin"
"wheaties" "viljamuroja"
"80-year-old" "80-vuotias"
"20-year-old" "20-vuotias"
"10-year-olds" "10-vuotiaita"
"babysitting" "lastenhoito"
"satanist" "saatananpalvoja"
"rich-shamed" "rikkaiden häpeämä"
"three-foot-eleven" "3-jalkaa-11-tuumaa pitkä"
"ballsack" "kivepussi"
"solidified" "kiinteytynyt"
"tatted-up" "tatuoinnit peittävä"
"geralds" "Jerald-nimisiä"
"balls-deep" "pallonsyvyyteen"
"kells" "kellot"
"you1" "sinä1"
"8kembed" "sulauttaa 8k"
"superstardoms" "supernäyttämöjä"
"post-mortem" "kuolinjälkeinen"
"coast-to-coast" "rannikolta rannikolle"
"globetrotter" "maailmanmatkaaja"
"nose-dove" "syöksylasku"
"da-da-dom" "da-da-dom"
"da-dom" "da-dom"
"nine-to-" "yhdeksästä-"
"phifer" "Phifer"
"teeter-totter" "vipeltää"
"monotonys" "yksitoikkoisuuksia"
"yodel-odel-ay-hee-hoo" "joodeli-heilari-huu"
"vanvonderen" "hämmästyttävä"
"interventionist" "puuttumaton"
"ocds" "pakko-oireinen häiriö"
"conkin" "lyödä"
"sleepwalkin" "unissakävely"
"relayin" "välittää"
"pumped-up" "innostunut"
"899embed" "899 sisällyttää"
"partridge" "peltopyytä"
"maricón" "homoa"
"mower" "leikkuria"
"ghostwriters" "aavekirjoittajaa"
"upswing" "noususuuntaan"
"ha-ta-ta" "huu-haa-haa"
"ba-ta-ta" "baa-bää-bää"
"recap" "yhteenvetona"
"adats" "tietokoneongelma"
"kanes" "kaniluokka"
"syruped" "siirapoitunut"
"acetaminophen" "asesaminofeenia"
"minithin" "pikkuruinen"
"milligram" "milligramma"
"tirelessly" "väsymättä"
"juice795embed" "mehustus795sisältö"
"kala" "kala"
"critiquin" "kritisoida"
"sub-par" "huonolaatuinen"
"win-win" "win-win-tilanne"
"skim" "selattaessa"
"speds" "vauhdikas"
"dobermann" "peloton"
"out-rhymed" "tappiota kärsineet"
"behemoth" "jättiläinen"
"ethos" "periaate"
"tailbone" "hännänluu"
"self-loathe" "inhoaa itseään"
"scatterin" "sekasorto"
"batterin" "pahoinpitely"
"fingerless" "sormetön"
"vigil" "valvonta"
"bare-knuckle" "paljas nyrkkeily"
"abraca-fuckin-dabra" "abraka-fuckin-dabra"
"fanagans" "temput"
"blana-kazana-ka-fam-bam-bannigans" "blana-kazana-ka-fam-bam-bannigans"
"bana-kazanika" "pelinappulat"
"hanna" "tuli"
"cabana" "huvimaja"
"cab-" "cab-"
"chantin" "laulaminen"
"papkins" "paperit"
"lapkins" "liinavaatteet"
"chapki-" "chapki-"
"bapkin" "paperi"
"flamminababbitapannitajampkin" "roskapönttö"
"pada-742embed" "pesänumero 742"
"648embed" "pesänumero 648"
"co-operating" "yhteistyössä"
"ovulating" "ovuloiminen"
"complicating" "vaikeuttava"
"painkiller" "kipulääke"
"symbiote" "symbiootti"
"snake-bitten" "käärmeruumiinen"
"double-aught" "kaksoiskymmenesosainen"
"garrote" "kuristusväline"
"brock" "Brock"
"547embed" "547upotus"
"run480embed" "ajo480upotus"
"chicka" "tyttö"
"you-know-what" "sinä-tiedät-mikä"
"you-know-who" "sinä-tiedät-kuka"
"intercourse" "yhdyntä"
"cantaloupes" "melonit"
"antelopes" "antiloopit"
"carson" "Carson"
"daly" "Daly"
"vd" "vd (sukupuolitauti)"
"valiums" "Valiumit"
"nurses" "sairaanhoitajat"
"jergens" "Jergens"
"jerking" "nykiminen"
"429embed" "429upotus"
"berzerk" "raou, raivokas"
"stimpys" "Stimpyt"
"k-fed" "K-Fed"
"siree" "todellakin"
"dang-dang" "hurraa-hurraa"
"pow-p-p-p-pow" "pam-pam-pam-pam"
"rolaids" "suojakivi"
"motrin" "kipulääke"
"throated" "kurkkuun asti ulottuva"
"double-edge" "kaksiteräinen"
"indefensible" "puolustuskelvoton"
"despicable" "halveksittava"
"commons" "yhteismaa"
"406embed" "sisällytetty tiedosto"
"marathoners" "maratoonarit"
"walk-on-water-gate" "kävelemisportti veden ylle"
"akademiks" "akateemikko"
"gifford" "pelilaulutunnelin rautaverkko"
"d12s" "kuusitoista noppaa"
"sack-religious" "hengellinen huonekalu"
"run-in" "törmäys"
"nominate" "ehdottaa"
"b-i-r-d" "lintu"
"lip-syncs" "huulien liikuttelu"
"jamar" "juhlajoukko"
"pelvic" "lantioon liittyvä"
"hopsins" "hypyt"
"logics" "logiikat"
"k-dots" "pistekoodit"
"59s" "viisiyhdeksän minuuttia"
"fire324embed" "tulisiirto sisällytetty tiedosto"
"pennin" "sentti"
"amoxicillins" "amoksisilliinit"
"cop-killin" "poliisien tappaminen"
"wizzle" "vinkkaus"
"bizzles" "liiketoimet"
"one-bedroom" "yksiö"
"novara" "Novara"
"363embed" "363ulottuvuus"
"blackening" "mustuma"
"misstep" "harha-askel"
"exhaustive" "tyhjentävä"
"pectations" "odotukset"
"speedom" "nopeusmittari"
"deshaun" "Deshaun"
"methadone" "metadoni"
"godlike" "jumalallinen"
"stan440embed" "Stan440ulottuvuus"
"s1" "S1"
"m-phazes" "M-phazes"
"throughs" "läpi"
"nitwit" "hölmö"
"pent-up" "tukahdutettu"
"voosh" "buu"
"vengefully" "kostosta"
"beforehand" "etukäteen"
"chloroform" "kloroformi"
"hack-up" "pukeutua huolimattomasti"
"publicity" "julkisuus"
"foxtrot" "fokstrotti"
"polyps" "polyypit"
"double-standard" "kaksoisstandardi"
"symbolic" "symbolinen"
"foreshadows" "ennustaa"
"wallop" "mätkäyttää"
"off579embed" "off579ulottuvuus"
"topplin" "aallotukset, aallot"
"325embed" "sisältyvä, upotettava"
"eight-years-old" "kahdeksan vuotta vanha"
"dadll" "isäni, isä"
"368embed" "sisältyvä, upotettava"
"inhales" "hengittää sisään"
"whats-her-face" "se mikä häntä on (naishenkilö)"
"tampax" "tampax"
"superman173embed" "sisältyvä, upotettava"
"fixable" "korjattavissa"
"grandbabies" "pikkunelikko"
"deterioratin" "rappeutuminen"
"637embed" "sisältyvä, upotettava"
"acronym" "lyhennys"
"salivate" "kuolata"
"ruffle" "kohota"
"adapter" "sovitin"
"hyping" "kehumaan"
"bowin" "kumartaa, taivuttaa"
"tool-box-es" "työkalupakki"
"buh-lieve" "uskomaan"
"a-chieve" "saavuttaa"
"a-all313embed" "sisältyvä, upotettava"
"paddock" "tarha"
"tascam" "tascam (äänilaitteiden merkki)"
"basal" "perustason"
"ganglia" "ganglioita"
"bidets" "bideet"
"honkies" "valkolaiset (v slang), amerikkalaiset"
"wife-beaters" "vaimonpahoinpitelijät"
"helium" "helium"
"pale-faced" "kalpea"
"176embed" "176upotus"
"me131embed" "me131upotus"
"soon-to-be-spouse" "tuleva aviopuoliso"
"worst-case" "pahin tapaus"
"low-end" "matalaluokkainen"
"kwamé" "Kwamé"
"g-goddang" "jumalauta"
"godmama" "kummitäti"
"caesarean" "sectio"
"diligently" "ahkerasti"
"chlamydia" "klamydia"
"wee-bey" "Wee-Bey"
"grater" "raastin"
"beat-break" "lyömätauko"
"brakeline" "jarruputki"
"mother-f-u-c-ks" "äiti-v-i-t-t-u"
"coasted" "liu'uttautunut"
"goshdamn" "hitto vie"
"repaved" "uudelleen päällystetty"
"combative" "taisteleva"
"loréal" "L'Oréal"
"swellin" "turpoaminen"
"yates" "Yates"
"love258embed" "rakkaus258upotus"
"unaccommodating" "sovittelematon"
"erbody" "kaikki"
"h-os" "H-os"
"beefed" "lihoneet"
"scoffin" "ivaten, pilkaten"
"noncompliant" "niskuroiva, tottelematon"
"underlyin" "piilevä, alitajuisesti vaikuttava"
"sobbin" "itkevä, valittava"
"eye-balled" "tuijottava, katseltava"
"mind-bogglin" "hämmästyttävä, kummallinen"
"obsess" "pakkomielteinen, hulluuteen johdattava"
"wireds" "hermostunut, jännittynyt"
"crosswords" "ristisanatehtävä, arvoitus"
"horseshit" "hevosenpaska, naurettava juttu"
"dawkins" "Richard Dawkins, älykkäästi argumentoiva henkilö"
"0-16" "nolla-yksi-kolmetoista, menetetty mahdollisuus"
"baldingers" "kaljamagneetti, lumoava henkilö"
"ball-licker" "kiveksien nuoleminen, mielistelevä henkilö"
"pigsll" "porsaan silmä, likainen ihminen"
"exaltin" "ylistävä, kunnioittava"
"haltin" "pysäyttävä, keskeyttävä"
"legacy329embed" "perintö329upotettu, vanhentunut tapa"
"blarin" "huutava, hälyttävä"
"sags" "roikkuva, lysähtävä"
"do-rags" "päähine, hiuselementti"
"intertwinin" "yhteenkietoutunut, yhdessä toimiva"
"sanctum" "pyhä paikka, turvapaikka"
"degrade" "alentaa, nöyryyttää"
"metamorphosis" "muodonmuutos, muuttuminen"
"prosecutors" "syyttäjät, syyttely"
"affectin" "vaikuttava, koskettava"
"ignoramus" "tietämätön, sivistymätön henkilö"
"pin-up" "seinälle aseteltava, ihailtava"
"away326embed" "matkalla326upotettu, poissa oleva"
"codeinell" "kodeiini"
"hiroshima" "Hiroshima"
"camoly" "epäsiisti"
"imodium" "imodium-lääke"
"commode" "potta"
"gloating" "riemuita"
"klonopin" "klonopin-lääke"
"wad" "tukko"
"220embed" "220-upotus"
"kabillion" "miljoonaa ja ylinta"
"tip-toed" "liikkua varpaillaan"
"spawns" "synnyttää"
"indulgent" "hemmotteleva"
"shady-mania" "varjoisa-manian tila"
"a-holes" "persehullut"
"fear1kembed" "pelon-1000-upotus"
"wristwatches" "rannekellot"
"twenty-six-year-old" "26-vuotias"
"anti-backstreet" "vastustava-Backstreet"
"britneys" "Britneys"
"ass-whoopin" "perseestä-möesing"
"paintballs" "väripallot"
"spunned" "pyöritetty"
"get-bizzy" "puuhatkoon"
"briggs" "Briggs"
"ejaculate" "siemensyöksy"
"ninety-some" "yhdeksänkymmentäluentaa"
"117embed" "117-upotus"
"hoverin" "leijumassa"
"havensll" "laatumajoituksia tai koteja2"
"puppys" "koiranpennut"
"179embed" "upposymboli"
"vrin" "väärä"
"sodomize" "sodomisoida"
"eminemll" "Eminemll"
"tweece" "nyhvätä"
"outweigh" "painaa enemmän kuin"
"in-school" "koulun sisäinen"
"knifepoint" "veitsen kärjellä"
"you156embed" "sinä156upposymboli"
"fair-weather" "kesäisä"
"backstabbers" "selän takaa puukottajat"
"life153embed" "elämä153upposymboli"
"-year-old" "-vuotias"
"brians" "Brians"
"archie" "Archie"
"panics" "paniikki"
"closing146embed" "sulkemislukemat upposymboli"
"ground-up" "maastapäin"
"communitys" "yhteisöjen"
"brokes" "katkaisee"
"unabomb" "Unabomb"
"firecracker" "ilotulite"
"blots" "tahraa"
"warhead" "pääkallo"
"consolin" "lohduttaa"
"double-fisted" "kaksinkätinen"
"bare-knuckles" "paljain nyrkein"
"corncob" "maissintähkä"
"inkling" "aavistus"
"wacko" "sekopäinen"
"benzodiazepines" "bentsodiatsepiinit"
"concert-goers" "konsertti-yleisö"
"attacker" "hyökkääjä"
"annapolis" "Annapolis (kaupunki Marylandissa, Yhdysvalloissa)"
"newly-released" "vastikään julkaistu"
"200embed" "200upotus"
"grimmin" "synkkä"
"rearrangin" "uudelleenjärjestäminen"
"ats" "atsitseetti (syövyttävä happo)"
"roastin" "paahdettu"
"smart-ass" "älykäs lässyttäjä"
"wazoo" "liiallinen määrä"
"k-mart" "K-Mart (tavarataloketju)"
"rekcufrehtom" "rekcufrehtom"
"tihs" "tihs"
"childish-like" "lapsenomainen"
"chloraseptic" "kloorihappoa sisältävä"
"aleve" "Aleve (kipulääke)"
"heath-uh-" "Heath-U- (merkki tai tuote)"
"legible" "luettava"
"cleaver" "hakkuuase"
"wolly" "villava"
"19946" "19946"
"osborn" "Osborn (sukunimi)"
"tamer" "kesyttäjä"
"insaner" "hullumpi"
"someoned" "joku tehnyt jotakin"
